"2159,Franklin D. Roosevelt,29-Feb-36,,,,0,0,1,1,Against the Export of Arms and Ammunition to Italy and Ethiopia.,""Italy, Ethiopia"","""",3,1,2,1,2,1,2,""Section 1 of Joint Resolution - August 31, 1935"",11,D,322,103,1,69,25,1,,13.8000001907349,13.8000001907349,13.6999998092651,13.6999998092651,13.6999998092651,13.8000001907349,13.8999996185303,14,14,14,14,14,1.5,,,,,,,,,,,,N/A,,83.8,N/A,N/A,N/A,83.8,73.3000030517578,10.5,"""",2.40000009536743,2.40000009536743,0,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2236,Franklin D. Roosevelt,1-May-37,,,,1,0,0,0,Forbidding the Export of Arms and Munitions to the Civil War in Spain.,Spain,"""",1,1,2,1,2,1,2,Joint Res. Of Congress,11,D,334,88,1,76,16,1,,14.1000003814697,14.1000003814697,14.1999998092651,14.3000001907349,14.3999996185303,14.3999996185303,14.5,14.5,14.6000003814697,14.6000003814697,14.5,14.3999996185303,3.59999990463257,,,,,,,,,,,,N/A,,91.9,N/A,N/A,N/A,91.9,83.8000030517578,8.10000038146973,"""",3.29999995231628,3,0.300000011920929,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2361,Franklin D. Roosevelt,11-Sep-39,,,,1,0,0,0,Suspending Marketing Limitations on Sugar.,None Listed,"""",4,1,3,2,2,1,2,Sugar Act 1937,12,D,262,169,1,69,23,1,,14,13.8999996185303,13.8999996185303,13.8000001907349,13.8000001907349,13.8000001907349,13.8000001907349,13.8000001907349,14.1000003814697,14,14,14,-1.39999997615814,,,,,,,,,,,,N/A,,92.2,N/A,N/A,N/A,92.2,86.0999984741211,6.09999990463257,88.6,3.09999990463257,2.29999995231628,0.800000011920929,N/A,0,1,1,0,0,0,1,0,0,0,0,0,,1,1";
"2378,Franklin D. Roosevelt,26-Dec-39,,,,1,0,0,0,Suspending the Marketing Quota Provisions of the Sugar Act of 1937.,None Listed,"""",4,1,3,1,2,3,2,Sugar Act 1937,12,D,262,169,1,69,23,1,,14,13.8999996185303,13.8999996185303,13.8000001907349,13.8000001907349,13.8000001907349,13.8000001907349,13.8000001907349,14.1000003814697,14,14,14,-1.39999997615814,,,,,,,,,,,,N/A,,92.2,N/A,N/A,N/A,92.2,86.0999984741211,6.09999990463257,88.6,3.09999990463257,2.29999995231628,0.800000011920929,N/A,1,1,0,0,0,1,0,0,0,0,0,0,,1,1";
"2413,Franklin D. Roosevelt,2-Jul-40,,,,1,1,0,1,Prohibiting Unlicensed Export of War Materials and Strategic Raw Products.,All,"""",2,1,2,1,2,1,2,National Defense Act 1940,11,D,262,169,1,69,23,1,,13.8999996185303,14,14,14,14,14.1000003814697,14,14,14,14,14,14.1000003814697,0.699999988079071,,,,,,,,,,,,N/A,,101.4,N/A,N/A,N/A,101.4,92.1999969482422,9.19999980926514,97.1,4,2.59999990463257,1.39999997615814,N/A,1,1,0,0,0,0,1,0,0,0,0,0,,1,1";
"2497,Franklin D. Roosevelt,17-Jul-41,,,,1,1,0,0,""Blacklisting 1,800 Latin American Firms for Aiding Germany or Italy."",Latin American Countries,"""",3,1,2,1,2,1,2,54 Stat. 714,13,D,267,162,1,66,28,1,69.5,14.1000003814697,14.1000003814697,14.1999998092651,14.3000001907349,14.3999996185303,14.6999998092651,14.6999998092651,14.8999996185303,15.1000003814697,15.3000001907349,15.3999996185303,15.5,5,,,,,,,,,,,,N/A,,126.7,N/A,N/A,N/A,126.7,101.400001525879,25.2999992370606,120.5,5.09999990463257,3.29999995231628,1.79999995231628,N/A,1,1,0,0,0,0,1,0,0,0,69.5,0,,1,1";
"3504,John F. Kennedy,23-Oct-62,,,,0,0,0,1,Interdiction of the Delivery of Offensive Weapons to Cuba.,Cuba,"""",1,1,4,1,2,1,2,Joint Res. Of Congress,11,D,263,174,1,64,36,1,60.8800010681152,30,30.1000003814697,30.1000003814697,30.2000007629395,30.2000007629395,30.2000007629395,30.2999992370606,30.2999992370606,30.3999996185303,30.3999996185303,30.3999996185303,30.3999996185303,1,5.80000019073486,5.5,5.59999990463257,5.59999990463257,5.5,5.5,5.40000009536743,5.69999980926514,5.59999990463257,5.40000009536743,5.69999980926514,5.5,5.59999990463257,576,583.2,590,593.3,585.6,544.700012207031,40.9000015258789,554.9,21.3999996185303,16.2999992370605,5.09999990463257,N/A,1,1,0,0,0,0,1,0,0,0,60.8800010681152,0,,1,1";
"4369,Gerald Ford,24-Apr-75,32,50,17,0,0,0,0,Agreement on Trade Relations Between The United States of America and the Socialist Republic of Romania,Romania,"""",1,2,3,2,2,1,2,Trade Act 1974,13,R,291,144,0,60,38,0,39.0299987792969,52.0999984741211,52.5,52.7000007629395,52.9000015258789,53.2000007629395,53.5999984741211,54.2000007629395,54.2999992370606,54.5999984741211,54.9000015258789,55.2999992370606,55.5,9.10000038146973,8.10000038146973,8.10000038146973,8.60000038146973,8.80000019073486,9,8.80000019073486,8.60000038146973,8.39999961853027,8.39999961853027,8.39999961853027,8.30000019073486,8.2,8.5,""1,570.00"",""1,605.60"",""1,663.10"",""1,714.60"",""1,638.30"",1500,138.300003051758,""1,598.40"",109.300003051758,98.5,10.8000001907349,N/A,0,0,1,0,0,0,1,0,0,0,7.03000020980835,1,7.02999877929688,1,1";
"4509,Jimmy Carter,15-Jun-77,31,49,20,0,0,0,0,Alloy Tool Steel Imports,""Japan, EU Countries, Sweden, Canada, Austria, and Others"","""",3,1,1,2,2,1,2,Trade Act 1974,7,D,292,143,1,61,38,1,63.0800018310547,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,0,1,1,0,1,1,1,0,0,0,32.0800018310547,1,32.0800018310547,1,1";
"4510,Jimmy Carter,22-Jun-77,31,49,20,0,0,0,0,Non-Rubber Footwear Imports,China & Korea,"""",3,2,1,1,2,1,2,Trade Act 1974,14,D,292,143,1,61,38,1,63.0800018310547,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,1,0,0,0,0,0,1,0,0,0,32.0800018310547,1,32.0800018310547,1,1";
"4511,Jimmy Carter,24-Jun-77,31,49,20,0,0,0,0,Color Television Receiver Imports,Japan,"""",1,1,1,1,2,1,2,Tariff Act 1930,15,D,292,143,1,61,38,1,63.0800018310547,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,1,1,0,0,0,0,1,0,0,0,32.0800018310547,1,32.0800018310547,1,1";
"4538,Jimmy Carter,11-Nov-77,31,50,19,0,0,0,0,""Sugar, Sirups, and Molasses Imports"",None Listed,"""",2,1,1,1,2,7,2,Agricultural Adjustment Act,12,D,292,143,1,61,38,1,55.8699989318848,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,1,1,0,0,0,0,0,0,0,0,24.8700008392334,1,24.8699989318848,1,1";
"4539,Jimmy Carter,11-Nov-77,31,50,19,0,0,0,0,""Sugar, Sirups, and Molasses Imports"",None Listed,"""",2,1,1,1,2,1,2,Trade Expansion Act 1962,12,D,292,143,1,61,38,1,55.8699989318848,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,1,1,0,0,0,0,1,0,0,0,24.8700008392334,1,24.8699989318848,1,1";
"4543,Jimmy Carter,27-Dec-77,29,50,21,0,0,0,0,Imports of Petroleum and Petroleum Products,None Listed,"""",2,1,1,1,5,1,2,Trade Expansion Act,2,D,292,143,1,61,38,1,54.8600006103516,58.5,59.0999984741211,59.5,60,60.2999992370606,60.7000007629395,61,61.2000007629395,61.4000015258789,61.5999984741211,61.9000015258789,62.0999984741211,6.5,7.5,7.59999990463257,7.40000009536743,7.19999980926514,7,7.19999980926514,6.90000009536743,7,6.80000019073486,6.80000019073486,6.80000019073486,6.4,7.09999990463257,""1,939.30"",""2,006.00"",""2,066.80"",""2,111.60"",""2,030.90"",1825.30004882813,205.600006103516,""1,990.50"",123.199996948242,151,-27.7999992370606,N/A,1,1,0,0,0,0,1,1,0,0,25.8600006103516,1,25.8600006103516,1,1";
"4547,Jimmy Carter,20-Jan-78,29,50,21,0,0,0,1,""Sugar, Sirups, and Molasses Imports"",None Listed,"""",2,1,1,1,2,1,2,Agricultural Adjustment Act,12,D,292,143,1,61,38,1,51.8699989318848,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,1,1,0,0,0,0,1,0,0,0,22.8700008392334,1,22.8699989318848,1,1";
"4559,Jimmy Carter,5-Apr-78,31,50,19,0,0,0,1,Alloy Tool Steel Imports,None Listed,"""",2,1,1,2,2,4,2,Trade Act 1974,7,D,292,143,1,61,38,1,40.4199981689453,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,1,1,0,1,1,0,0,0,0,9.42000007629395,1,9.41999816894531,1,1";
"4560,Jimmy Carter,7-Apr-78,31,50,19,0,0,0,1,United States-Hungary Trade Relations,Hungary,"""",1,1,3,2,3,1,2,Trade Act 1974,13,D,292,143,1,61,38,1,40.4199981689453,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,1,1,0,0,0,1,0,1,0,9.42000007629395,1,9.41999816894531,1,1";
"4577,Jimmy Carter,4-Jul-78,31,50,19,0,0,0,1,Meat Imports,None Listed,"""",2,1,1,1,2,1,2,78 Stat. 594";" 19 U.S.C. 1202,16,D,292,143,1,61,38,1,40.0900001525879,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,1,1,0,0,0,0,1,0,0,0,9.09000015258789,1,9.09000015258789,1,1"
"4600,Jimmy Carter,21-Sep-78,29,51,20,0,0,0,1,Imports From India,India,"""",1,2,3,2,6,1,2,Trade Act 1974,13,D,292,143,1,61,38,1,47.7599983215332,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,0,1,0,0,0,1,0,0,1,18.7600002288818,1,18.7599983215332,1,1";
"4604,Jimmy Carter,2-Oct-78,29,49,22,0,0,0,1,Ceramic Tableware Imports,None Listed,"""",2,1,1,2,6,1,2,""Trade Act 1974, Trade Expansion Act 1962, GATT"",17,D,292,143,1,61,38,1,47.7599983215332,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,1,1,0,0,0,1,0,0,1,18.7600002288818,1,18.7599983215332,1,1";
"4608,Jimmy Carter,15-Nov-78,29,49,22,0,0,0,1,High Carbon Ferrochromium Imports,None Listed,"""",2,1,1,1,6,1,2,""Trade Act 1974, GATT"",17,D,292,143,1,61,38,1,50.3800010681152,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,1,1,0,0,0,0,1,0,0,1,21.3799991607666,1,21.3800010681152,1,1";
"4610,Jimmy Carter,30-Nov-78,29,49,22,0,0,0,1,""Sugars, Sirups, and Molasses Imports"",Too many to list,"""",3,1,1,2,2,1,2,Trade Expansion Act,6,D,292,143,1,61,38,1,50.3800010681152,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,1,1,1,0,0,1,0,0,0,21.3799991607666,1,21.3800010681152,1,1";
"4629,Jimmy Carter,8-Dec-78,29,49,22,0,0,0,1,Imports of Petroleum and Petroleum Products,None Listed,"""",2,1,1,2,5,1,2,Trade Expansion Act 1962,2,D,292,143,1,61,38,1,51.1599998474121,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,1,1,0,0,0,1,1,0,0,22.1599998474121,1,22.1599998474121,1,1";
"4630,Jimmy Carter,15-Dec-78,29,49,22,0,0,0,1,Imports of Papermaking Machinery From Finland,Finland,"""",1,2,3,2,6,1,2,""Trade Act 1974, GATT"",17,D,292,143,1,61,38,1,51.1599998474121,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,0,0,1,0,0,0,1,0,0,1,22.1599998474121,1,22.1599998474121,1,1";
"4631,Jimmy Carter,28-Dec-78,29,49,22,0,0,0,1,Sugars and Sirups Imports,None Listed,"""",2,1,1,1,6,1,2,Agricultural Adjustment Act,12,D,292,143,1,61,38,1,50.189998626709,62.5,62.9000015258789,63.4000015258789,63.9000015258789,64.5,65.1999969482422,65.6999969482422,66,66.5,67.0999984741211,67.4000015258789,67.6999969482422,7.59999990463257,6.40000009536743,6.30000019073486,6.30000019073486,6.09999990463257,6,5.90000009536743,6.19999980926514,5.90000009536743,6,5.80000019073486,5.90000009536743,6,6.09999990463257,""2,150.00"",""2,275.60"",""2,336.20"",""2,417.00"",""2,294.70"",2030.90002441406,263.799987792969,""2,249.70"",145.899993896484,174.800003051758,-28.8999996185303,N/A,1,1,0,0,0,0,1,0,0,1,21.1900005340576,1,21.189998626709,1,1";
"4632,Jimmy Carter,4-Jan-79,29,49,22,0,1,0,0,""American Bolt, Nut, and Large Screw Industry"",None Listed,"""",2,1,1,1,4,4,2,Trade Act & GATT,7,D,292,143,1,61,38,1,50.189998626709,68.3000030517578,69.0999984741211,69.8000030517578,70.5999984741211,71.5,72.3000030517578,73.0999984741211,73.8000030517578,74.5999984741211,75.1999969482422,75.9000015258789,76.6999969482422,11.3000001907349,5.90000009536743,5.90000009536743,5.80000019073486,5.80000019073486,5.59999990463257,5.69999980926514,5.69999980926514,6,5.90000009536743,6,5.90000009536743,6,5.90000009536743,""2,464.40"",""2,527.60"",""2,600.70"",""2,660.50"",""2,563.30"",2294.69995117188,268.600006103516,""2,508.20"",186.5,209.5,-23,N/A,1,1,0,0,1,1,0,0,0,0,21.1900005340576,1,21.189998626709,1,1";
"4634,Jimmy Carter,26-Jan-79,29,49,22,0,1,0,0,Color Television Receiver Imports,Korea & Taiwan,"""",3,2,1,1,6,1,2,Trade Act 1974,15,D,277,158,1,58,41,1,42.2200012207031,68.3000030517578,69.0999984741211,69.8000030517578,70.5999984741211,71.5,72.3000030517578,73.0999984741211,73.8000030517578,74.5999984741211,75.1999969482422,75.9000015258789,76.6999969482422,11.3000001907349,5.90000009536743,5.90000009536743,5.80000019073486,5.80000019073486,5.59999990463257,5.69999980926514,5.69999980926514,6,5.90000009536743,6,5.90000009536743,6,5.90000009536743,""2,464.40"",""2,527.60"",""2,600.70"",""2,660.50"",""2,563.30"",2294.69995117188,268.600006103516,""2,508.20"",186.5,209.5,-23,N/A,1,0,0,0,0,0,1,0,0,1,13.2200002670288,1,13.2200012207031,1,1";
